epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
127,982.941,0.50778,0.42619,1.03838,1,0.99994,0.995,0.94252,0.30141,0.24451,0.86487,0.000187092,0.000187092,0.000187092
128,991.32,0.47996,0.39826,0.99911,1,0.99976,0.995,0.94614,0.32008,0.24357,0.86748,0.00017976,0.00017976,0.00017976
129,998.684,0.48411,0.40672,0.99594,1,0.99982,0.995,0.94108,0.33243,0.2466,0.88207,0.000172427,0.000172427,0.000172427
130,1006.41,0.47807,0.39418,0.99449,1,0.99986,0.995,0.94295,0.33887,0.2476,0.88948,0.000165095,0.000165095,0.000165095
131,1013.4,0.44768,0.37149,0.98073,0.99988,1,0.995,0.94279,0.32636,0.23963,0.88081,0.000157762,0.000157762,0.000157762
132,1021.68,0.47869,0.40467,0.97576,0.99983,1,0.995,0.94828,0.31519,0.23681,0.87273,0.000150429,0.000150429,0.000150429
133,1028.54,0.44732,0.37898,0.96368,1,0.99958,0.995,0.95429,0.30693,0.23358,0.86582,0.000143097,0.000143097,0.000143097
134,1037.24,0.45948,0.40047,0.99839,1,0.99924,0.995,0.95642,0.29522,0.23104,0.85651,0.000135764,0.000135764,0.000135764
135,1044.08,0.45417,0.39054,0.98297,1,0.99994,0.995,0.95863,0.28537,0.23007,0.8503,0.000128432,0.000128432,0.000128432
136,1052.37,0.50506,0.45297,1.01832,0.99987,1,0.995,0.95711,0.28204,0.22626,0.84879,0.000121099,0.000121099,0.000121099
137,1059.54,0.45773,0.38178,0.96006,0.99983,1,0.995,0.95771,0.28545,0.22534,0.85218,0.000113766,0.000113766,0.000113766
138,1067.31,0.44999,0.37818,0.98407,0.99979,1,0.995,0.94997,0.29323,0.23049,0.85988,0.000106434,0.000106434,0.000106434
139,1074.95,0.44495,0.38908,0.97441,0.99981,1,0.995,0.94923,0.30439,0.23044,0.86871,9.91012e-05,9.91012e-05,9.91012e-05
140,1082.65,0.41605,0.34962,0.95787,0.9998,1,0.995,0.95314,0.30312,0.22719,0.86888,9.17686e-05,9.17686e-05,9.17686e-05
141,1096.75,0.42402,0.54143,0.97429,0.99982,1,0.995,0.95402,0.29762,0.22454,0.864,8.4436e-05,8.4436e-05,8.4436e-05
142,1106.66,0.3893,0.45915,0.94172,0.99987,1,0.995,0.95384,0.30295,0.23168,0.865,7.71034e-05,7.71034e-05,7.71034e-05
143,1113.48,0.3954,0.48992,0.94174,0.99997,1,0.995,0.95342,0.31048,0.2383,0.86797,6.97708e-05,6.97708e-05,6.97708e-05
144,1122.79,0.34709,0.42111,0.91544,1,0.99982,0.995,0.94942,0.30623,0.24584,0.86491,6.24382e-05,6.24382e-05,6.24382e-05
145,1129.67,0.38862,0.37288,0.91644,1,0.99986,0.995,0.9561,0.29421,0.24405,0.8585,5.51056e-05,5.51056e-05,5.51056e-05
146,1138,0.32839,0.35039,0.92126,1,0.99991,0.995,0.96359,0.28099,0.24097,0.85166,4.7773e-05,4.7773e-05,4.7773e-05
147,1144.9,0.33951,0.37118,0.93427,1,0.99999,0.995,0.96593,0.2715,0.23775,0.84721,4.04404e-05,4.04404e-05,4.04404e-05
148,1152.87,0.31948,0.34414,0.88219,0.99996,1,0.995,0.96881,0.26324,0.23292,0.8433,3.31078e-05,3.31078e-05,3.31078e-05
149,1160.26,0.35882,0.35771,0.90881,0.99995,1,0.995,0.96906,0.26128,0.23167,0.84282,2.57752e-05,2.57752e-05,2.57752e-05
150,1168.04,0.34308,0.35574,0.93879,1,0.99995,0.995,0.96827,0.25886,0.23213,0.84241,1.84426e-05,1.84426e-05,1.84426e-05
